EXE: ./bin/hw4, RANKS: 1, SIZE: 4000, GENS: 200, SEC: 2.698000, MEM: 16008000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 4000, GENS: 200, SEC: 2.713000, MEM: 16008000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 4000, GENS: 200, SEC: 2.709000, MEM: 16008000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 4000, GENS: 200, SEC: 1.405000, MEM: 8004000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 4000, GENS: 200, SEC: 1.408000, MEM: 8004000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 4000, GENS: 200, SEC: 1.406000, MEM: 8004000 
EXE: ./bin/hw4, RANKS: 4, SIZE: 4000, GENS: 200, SEC: 0.712000, MEM: 4002000 
EXE: ./bin/hw4, RANKS: 4, SIZE: 4000, GENS: 200, SEC: 0.730000, MEM: 4002000 
EXE: ./bin/hw4, RANKS: 4, SIZE: 4000, GENS: 200, SEC: 0.733000, MEM: 4002000 
EXE: ./bin/hw4, RANKS: 8, SIZE: 4000, GENS: 200, SEC: 0.387000, MEM: 2001000 
EXE: ./bin/hw4, RANKS: 8, SIZE: 4000, GENS: 200, SEC: 0.379000, MEM: 2001000 
EXE: ./bin/hw4, RANKS: 8, SIZE: 4000, GENS: 200, SEC: 0.390000, MEM: 2001000 
EXE: ./bin/hw4, RANKS: 12, SIZE: 4000, GENS: 200, SEC: 0.275000, MEM: 1336668 
EXE: ./bin/hw4, RANKS: 12, SIZE: 4000, GENS: 200, SEC: 0.264000, MEM: 1336668 
EXE: ./bin/hw4, RANKS: 12, SIZE: 4000, GENS: 200, SEC: 0.302000, MEM: 1336668 
EXE: ./bin/hw4, RANKS: 16, SIZE: 4000, GENS: 200, SEC: 0.220000, MEM: 1000500 
EXE: ./bin/hw4, RANKS: 16, SIZE: 4000, GENS: 200, SEC: 0.194000, MEM: 1000500 
EXE: ./bin/hw4, RANKS: 16, SIZE: 4000, GENS: 200, SEC: 0.215000, MEM: 1000500 
EXE: ./bin/hw4, RANKS: 20, SIZE: 4000, GENS: 200, SEC: 0.172000, MEM: 800400 
EXE: ./bin/hw4, RANKS: 20, SIZE: 4000, GENS: 200, SEC: 0.184000, MEM: 800400 
EXE: ./bin/hw4, RANKS: 20, SIZE: 4000, GENS: 200, SEC: 0.188000, MEM: 800400 
EXE: ./bin/hw4, RANKS: 24, SIZE: 4000, GENS: 200, SEC: 0.476000, MEM: 668334 
EXE: ./bin/hw4, RANKS: 24, SIZE: 4000, GENS: 200, SEC: 0.198000, MEM: 668334 
EXE: ./bin/hw4, RANKS: 24, SIZE: 4000, GENS: 200, SEC: 0.185000, MEM: 668334 
EXE: ./bin/hw4, RANKS: 28, SIZE: 4000, GENS: 200, SEC: 0.156000, MEM: 572286 
EXE: ./bin/hw4, RANKS: 28, SIZE: 4000, GENS: 200, SEC: 0.937000, MEM: 572286 
EXE: ./bin/hw4, RANKS: 28, SIZE: 4000, GENS: 200, SEC: 0.181000, MEM: 572286 
EXE: ./bin/hw4, RANKS: 1, SIZE: 5000, GENS: 200, SEC: 4.257000, MEM: 25010000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 5000, GENS: 200, SEC: 4.274000, MEM: 25010000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 5000, GENS: 200, SEC: 4.274000, MEM: 25010000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 5000, GENS: 200, SEC: 2.194000, MEM: 12505000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 5000, GENS: 200, SEC: 2.206000, MEM: 12505000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 5000, GENS: 200, SEC: 2.210000, MEM: 12505000 
EXE: ./bin/hw4, RANKS: 4, SIZE: 5000, GENS: 200, SEC: 1.102000, MEM: 6252500 
EXE: ./bin/hw4, RANKS: 4, SIZE: 5000, GENS: 200, SEC: 1.309000, MEM: 6252500 
EXE: ./bin/hw4, RANKS: 4, SIZE: 5000, GENS: 200, SEC: 1.140000, MEM: 6252500 
EXE: ./bin/hw4, RANKS: 8, SIZE: 5000, GENS: 200, SEC: 0.643000, MEM: 3126250 
EXE: ./bin/hw4, RANKS: 8, SIZE: 5000, GENS: 200, SEC: 0.630000, MEM: 3126250 
EXE: ./bin/hw4, RANKS: 8, SIZE: 5000, GENS: 200, SEC: 0.834000, MEM: 3126250 
EXE: ./bin/hw4, RANKS: 12, SIZE: 5000, GENS: 200, SEC: 0.521000, MEM: 2085834 
EXE: ./bin/hw4, RANKS: 12, SIZE: 5000, GENS: 200, SEC: 0.595000, MEM: 2085834 
EXE: ./bin/hw4, RANKS: 12, SIZE: 5000, GENS: 200, SEC: 0.585000, MEM: 2085834 
EXE: ./bin/hw4, RANKS: 16, SIZE: 5000, GENS: 200, SEC: 0.498000, MEM: 1565626 
EXE: ./bin/hw4, RANKS: 16, SIZE: 5000, GENS: 200, SEC: 0.506000, MEM: 1565626 
EXE: ./bin/hw4, RANKS: 16, SIZE: 5000, GENS: 200, SEC: 0.535000, MEM: 1565626 
EXE: ./bin/hw4, RANKS: 20, SIZE: 5000, GENS: 200, SEC: 0.580000, MEM: 1250500 
EXE: ./bin/hw4, RANKS: 20, SIZE: 5000, GENS: 200, SEC: 0.550000, MEM: 1250500 
EXE: ./bin/hw4, RANKS: 20, SIZE: 5000, GENS: 200, SEC: 0.562000, MEM: 1250500 
EXE: ./bin/hw4, RANKS: 24, SIZE: 5000, GENS: 200, SEC: 0.502000, MEM: 1045418 
EXE: ./bin/hw4, RANKS: 24, SIZE: 5000, GENS: 200, SEC: 0.537000, MEM: 1045418 
EXE: ./bin/hw4, RANKS: 24, SIZE: 5000, GENS: 200, SEC: 0.477000, MEM: 1045418 
EXE: ./bin/hw4, RANKS: 28, SIZE: 5000, GENS: 200, SEC: 0.512000, MEM: 895358 
EXE: ./bin/hw4, RANKS: 28, SIZE: 5000, GENS: 200, SEC: 0.525000, MEM: 895358 
EXE: ./bin/hw4, RANKS: 28, SIZE: 5000, GENS: 200, SEC: 0.550000, MEM: 895358 
EXE: ./bin/hw4, RANKS: 1, SIZE: 7500, GENS: 200, SEC: 9.479000, MEM: 56265000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 7500, GENS: 200, SEC: 9.482000, MEM: 56265000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 7500, GENS: 200, SEC: 9.485000, MEM: 56265000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 7500, GENS: 200, SEC: 4.929000, MEM: 28132500 
EXE: ./bin/hw4, RANKS: 2, SIZE: 7500, GENS: 200, SEC: 4.929000, MEM: 28132500 
EXE: ./bin/hw4, RANKS: 2, SIZE: 7500, GENS: 200, SEC: 4.922000, MEM: 28132500 
EXE: ./bin/hw4, RANKS: 4, SIZE: 7500, GENS: 200, SEC: 2.502000, MEM: 14066250 
EXE: ./bin/hw4, RANKS: 4, SIZE: 7500, GENS: 200, SEC: 2.463000, MEM: 14066250 
EXE: ./bin/hw4, RANKS: 4, SIZE: 7500, GENS: 200, SEC: 2.468000, MEM: 14066250 
EXE: ./bin/hw4, RANKS: 8, SIZE: 7500, GENS: 200, SEC: 1.506000, MEM: 7036876 
EXE: ./bin/hw4, RANKS: 8, SIZE: 7500, GENS: 200, SEC: 1.568000, MEM: 7036876 
EXE: ./bin/hw4, RANKS: 8, SIZE: 7500, GENS: 200, SEC: 1.507000, MEM: 7036876 
EXE: ./bin/hw4, RANKS: 12, SIZE: 7500, GENS: 200, SEC: 1.437000, MEM: 4688750 
EXE: ./bin/hw4, RANKS: 12, SIZE: 7500, GENS: 200, SEC: 1.421000, MEM: 4688750 
EXE: ./bin/hw4, RANKS: 12, SIZE: 7500, GENS: 200, SEC: 1.431000, MEM: 4688750 
EXE: ./bin/hw4, RANKS: 16, SIZE: 7500, GENS: 200, SEC: 1.281000, MEM: 3518438 
EXE: ./bin/hw4, RANKS: 16, SIZE: 7500, GENS: 200, SEC: 1.286000, MEM: 3518438 
EXE: ./bin/hw4, RANKS: 16, SIZE: 7500, GENS: 200, SEC: 1.284000, MEM: 3518438 
EXE: ./bin/hw4, RANKS: 20, SIZE: 7500, GENS: 200, SEC: 1.368000, MEM: 2813250 
EXE: ./bin/hw4, RANKS: 20, SIZE: 7500, GENS: 200, SEC: 1.299000, MEM: 2813250 
EXE: ./bin/hw4, RANKS: 20, SIZE: 7500, GENS: 200, SEC: 1.373000, MEM: 2813250 
EXE: ./bin/hw4, RANKS: 24, SIZE: 7500, GENS: 200, SEC: 1.324000, MEM: 2348126 
EXE: ./bin/hw4, RANKS: 24, SIZE: 7500, GENS: 200, SEC: 1.294000, MEM: 2348126 
EXE: ./bin/hw4, RANKS: 24, SIZE: 7500, GENS: 200, SEC: 1.316000, MEM: 2348126 
EXE: ./bin/hw4, RANKS: 28, SIZE: 7500, GENS: 200, SEC: 1.486000, MEM: 2010536 
EXE: ./bin/hw4, RANKS: 28, SIZE: 7500, GENS: 200, SEC: 1.407000, MEM: 2010536 
EXE: ./bin/hw4, RANKS: 28, SIZE: 7500, GENS: 200, SEC: 1.396000, MEM: 2010536 
